Name,Gold_Medals,Silver_Medals,Bronze_Medals
Ingrid Gulbin-Engel-Krmer,3,1,0
Sven Tomas Gustafson,3,1,0
Torsten Ren Gutsche,3,1,0
Dezs Gyarmati,3,1,1
Grant George Hackett,3,3,1
Georg Hackl,3,2,0
Nicole Lee Haislett (-Bacher),3,0,0
Veikko Johannes Hakulinen,3,3,1
Eskild Balschmidt Ebbesen,3,0,2
"Karin Enke-Kania (-Busch-, -Richter)",3,4,1
Anthony Lee Ervin,3,1,0
Tony Estanguet,3,0,0
George Louis Eyser,3,2,1
Dennis Fenton,3,0,2
Csaba Fenyvesi,3,0,0
Lisa M. Fernandez (-Lujan),3,0,0
Jens Fiedler,3,0,2
Anatoly Vasilyevich Firsov,3,0,0
John Joseph Flanagan,3,1,0
Alfred Flatow,3,1,0
Emilio Fontanella,3,0,0
Sylvia Shaqueria Fowles,3,0,0
Ranganathan Francis,3,0,0
Karl Telford Frederick,3,0,0
Konrad Frey,3,1,2
"Anna Christine ""Anni"" Friesinger-Postma",3,0,2
Ugo Frigerio,3,0,1
Liliana Gafencu,3,0,0
Marc Gagnon,3,0,2
"Ambrose ""Rowdy"" Gaines, IV",3,0,0
Giulio Gaudini,3,4,2
Nina Vasilyevna Gavrylyuk,3,0,1
Elena Georgescu-Nedelcu,3,1,1
Bernhard Germeshausen,3,1,0
Drew Cameron Ginn,3,1,0
Glenn Ashby Davis,3,0,0
"Joshua Clark ""Josh"" Davis",3,2,0
Vitaly Semyonovich Davydov,3,0,0
Henri Jhan ric Joseph Marie de Buhan,3,0,0
Louis Verrant Gabriel Le Bailly de la Falaise,3,0,0
Donna Elizabeth de Varona (-Pinto),3,0,0
Paavo Johannes Aaltonen,3,0,2
Agostino Abbagnale,3,0,0
Meghan Christina Agosta (-Marciano),3,0,0
Richard James Allen,3,0,0
Simona Amnar (-Tabr),3,1,3
Hjalmar Johan Andersen,3,0,0
Agneta Monica Andersson,3,2,2
Carmelo Kyan Anthony,3,0,1
Gillian Mary Apps,3,0,0
Kristin Ann Armstrong (-Savola),3,0,0
Seimone Delicia Augustus,3,0,0
Albert Azaryan,3,1,0
Shirley Frances Babashoff,3,6,0
Serhiy Oleksiyovych Chukhrai,3,0,0
"Edward ""Ed"" Clancy",3,0,1
Leslie Walter Claudius,3,1,0
Edmond Cloetens,3,0,0
Dario Alonzo Cologna,3,0,0
Deborah Compagnoni,3,1,0
Giancarlo Cornaggia-Medici Peterbelli,3,1,1
Marlenis Costa Blanco,3,0,0
Paul Vincent Costello,3,0,0
Natalie Anne Coughlin (-Hall),3,4,5
Ian Lowell Crocker,3,1,1
Veronica Angella Campbell-Brown,3,3,2
Niccol Campriani,3,1,0
"Richard John ""Rick"" Carey",3,0,0
Gustaf Vilhelm Carlberg,3,4,1
Philippe Louis Eugne Cattiau,3,4,1
Tracy Ann Caulkins (-Stockwell),3,0,0
Giorgio Cesana,3,0,0
Dhyan Chand Bais,3,0,0
Robert Charpentier,3,0,0
Chen Yibing,3,1,0
Yuliya Anatolyevna Chepalova,3,2,1
Andrs Balcz,3,2,0
Flicia Michele Sylviane Ballanger (-Vetu),3,0,0
Kenenisa Bekele Beyecha,3,1,0
Regla Maritza Bell McKenzie,3,0,0
"Melissa Louise Belote (-Hamlin, -Ripley)",3,0,0
Tibor Benedek,3,0,0
Brooke Marie Bennett (-Frioud),3,0,0
Tibor Berczelly (Berczeller-),3,0,2
Jack Beresford,3,2,0
Jennifer Lori Botterill,3,1,0
Shannon Leigh Boxx,3,0,0
Klavdiya Sergeyevna Boyarskikh,3,0,0
G. Alberto Braglia,3,2,0
Sebastian Brendel,3,0,0
Siegfried Brietzke,3,0,0
Valerie Ann Brisco-Hooks,3,1,0
Enrico Bruna,3,0,0
Olga Aleksandrovna Brusnikina,3,0,0
Olha Arkadivna Bryzhina (Vladykina-),3,1,0
Laura Kay Berg,3,1,0
Dmitry Vladimirovich Bilozerchev,3,0,1
Pter Biros,3,0,0
Ethelda Marguerite Bleibtrey (-Schlatke),3,0,0
Kay Bluhm,3,1,1
Svetlana Leonidovna Boginskaya,3,1,1
Leah Marie O'Brien-Amico,3,0,0
Heather Ann OReilly (-Werry),3,0,0
Misty Erie May-Treanor,3,0,0
Marnie Elizabeth McBean,3,0,1
"James Price ""Jimmy"" McLane, Jr.",3,1,0
Richard John Hannay Meade,3,0,0
Mary Terstegge Meagher (-Plant),3,1,1
Aleksandr Vasilyevich Medved,3,0,0
LaShawn Merritt,3,0,1
Caren Metschuck (-Mahn),3,1,0
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",3,0,0
Lszl Papp,3,1,0
Vladimir Vladimirovich Parfenovich,3,0,0
Park Seong-Hyeon,3,1,0
Christie Patricia Pearce-Rampone,3,1,0
Marie-Jos Juliana Prec (Hontas-),3,0,0
Tatyana Dmitriyevna Petrenko-Samusenko,3,1,0
Luigi Maiocco,3,0,0
Valentyn Hryhorovych Mankin,3,1,0
Eero Antero Mntyranta,3,2,2
"Angelina L. ""Angel"" Martino (Myers-, -Sims)",3,0,3
Paul Michel Pierre Adrien Masson (-Nossam),3,0,0
"Hendrika Wilhelmina ""Rie"" Mastenbroek (-Kuiper, -de Wit)",3,1,0
Heather Blaine Mitts (-Feeley),3,0,0
Tams Molnr,3,0,0
"James Paul ""Jim"" Montgomery",3,0,1
"Pedro Pablo Morales, Jr.",3,2,0
Daniel Yves Morelon,3,1,1
Thomas Morgenstern,3,1,0
Volodymyr Ivanovych Morozov,3,0,0
Bobby Joe Morrow,3,0,0
Ryan Murphy,3,0,0
Halil Mutlu,3,0,0
Aldo Nadi,3,1,0
Harald Natvig,3,1,1
Vladimir Aliverovich Nazlymov,3,2,1
Meinhard Nehmer,3,0,1
"Sandra Lynn ""Sandy"" Neilson (-Bell)",3,0,0
Romeo Neri,3,1,0
Gunda Niemann-Stirnemann-Kleemann,3,4,1
Tadahiro Nomura,3,0,0
"Martha (Mrta) Maria Norelius (-McAllister, -Wright, -Brown)",3,0,0
Lars Daniel Norling,3,0,0
Anke Nothnagel-von Seck,3,1,0
Paul Henry Pilgrim,3,0,0
Cherie Piper,3,0,0
Constana Pipot-Burcic,3,1,1
Andrea Pollack (-Pinske),3,3,0
Ctlina Ponor,3,1,1
Ramona Portwich,3,2,0
Tamara Natanovna Press,3,1,0
Kustaa Kustaanpoika Pihlajamki,2,1,0
Gyrgy Piller (Jekelfalussy-),2,0,0
Julien Pillet,2,1,0
William Edwin Pimm,2,1,0
Broome Eric Pinniger,2,0,0
Jean Piot,2,0,0
Scottie Maurice Pippen,2,0,0
Yevgeny Arkadyevich Platov,2,0,0
John Michael Plumb,2,4,0
Yevgeny Viktorovich Plyushchenko,2,2,0
Liliya Oleksandrivna Podkopaieva (-Nahorniy),2,1,0
Yuriy Mykhailovych Poiarkov,2,0,1
Sophie Polkamp,2,0,0
"Heinrich ""Heinz"" Pollay",2,0,1
Tatyana Petrovna Ponyayeva-Tretyakova,2,0,0
Marioara Popescu-Ciobanu,2,0,0
Yelena Aleksandrovna Posevina,2,0,0
Marie-Philip Poulin,2,0,0
Cheryl Pounder (-O'Toole),2,0,0
"Katrina Maree ""Triny"" Powell",2,0,0
Lisa Josephine Powell-Carruthers,2,0,0
Dorothy Poynton-Hill (-Teuber),2,1,1
Irina Natanovna Press,2,0,0
"Christopher Robert ""Chris"" Pronger",2,0,0
Oleg Alekseyevich Protopopov,2,0,0
Alexander Pusch,2,2,0
Olga Valeryevna Pylyova-Medvedtseva (Zamorozova-),2,0,1
Qiao Hong,2,1,1
Qin Kai,2,1,2
Megan M. Quann-Jendrick,2,1,0
Kristjan Palusalu,2,0,0
Denis Vladimirovich Pankratov,2,1,0
Bertalan Papp,2,0,0
Eduardo Paret Prez,2,1,0
Giuseppe Paris,2,0,0
Park Gyeong-Mo,2,1,0
Park Seung-Hui,2,0,3
Candace Nicole Parker (-Williams),2,0,0
"Cynthia Marie ""Cindy"" Parlow",2,1,0
Tomislav Pakvalin,2,0,0
"John Clarence ""Jack"" Patrick",2,0,0
Aleksandra Vyacheslavovna Patskevich,2,0,0
Rodney Stuart Pattisson,2,1,0
"Melvin Emery ""Mel"" Patton",2,0,0
Simona Puca (-Rus),2,0,1
"Christopher Emmanuel ""Chris"" Paul",2,0,0
Paula Renata Marques Pequeno,2,0,0
Maartje Yvonne Helene Paumen,2,1,0
Attilio Pavesi,2,0,0
Pierre Edmond Payss,2,0,0
Gary Dwayne Payton,2,0,0
"Henry Robert ""Bobby"" Pearce",2,0,0
Todd Robert Pearson,2,1,0
Carl Frederik Pedersen,2,0,0
"Susan Jane ""Sue"" Pedersen (-Pankey)",2,2,0
Istvn Pelle,2,2,0
Alberto Pellegrino,2,2,0
"Victoria Louise ""Vicki"" Pendleton (-Gardner)",2,1,0
Iain Bryden Percy,2,1,0
"Jacqueline Margaret ""Jackie"" Pereira",2,0,0
Kieren John Perkins,2,2,0
Sandra Perkovi,2,0,0
Annie Perreault,2,0,1
Corey Perry,2,0,0
Gehnll Persson,2,0,0
Govind Perumal,2,0,0
Birgit Peter (-Hndle),2,0,0
Rikke Petersen Schmidt,2,0,0
Serhiy Volodymyrovych Petrenko,2,0,0
Larisa Leonidovna Petrik (-Klimenko),2,0,1
Pedro Petrone Schiavone,2,0,0
Vladimir Vladimirovich Petrov,2,1,0
Attila Petschauer,2,1,0
Barbara Petzold (-Beyer),2,0,1
"Kimberley Marie ""Kim"" Peyton (-McDonald)",2,0,0
Paola Pezzo,2,0,0
Norayr Aram Nurikyan,2,0,0
Stacey Annette Nuveman (-Deniz),2,1,0
"William Parry O'Brien, Jr.",2,1,0
"Patrick ""Pat"" O'Callaghan",2,0,0
Marlies Oelsner-Ghr,2,2,0
Kenji Ogiwara,2,0,0
Apolo Anton Ohno,2,2,4
Bernd Olbricht,2,1,1
Abelardo Olivier,2,1,0
Johan Arne Olsson,2,1,3
Ioana Olteanu (Clin-),2,1,0
